N_epoch;loss
50;1.5342165592103768e-06 
100;5.246481453238041e-07 
150;6.656299064217764e-07 
200;3.172262692364175e-07 
250;2.7119310649595603e-07 
300;1.680204793970971e-07 
350;2.9656602192009375e-07 
400;1.7775967166509733e-07 
450;1.5846021312008983e-07 
500;2.0132506992647301e-07 
550;8.247381479093462e-08 
600;3.1412406672800454e-08 
650;4.947512305640653e-08 
700;4.703346049004991e-08 
750;4.615668079533049e-08 
800;6.5158328958801e-08 
850;4.436507155140928e-08 
900;5.349696728970551e-08 
950;4.9420840621249074e-08 
1000;5.490423623590517e-08 
1050;7.270834795471236e-08 
1100;5.366305065631397e-08 
1150;5.9208610270936504e-08 
1200;7.017196459394211e-08 
1250;5.1208075819011885e-08 
1300;8.925778986873101e-08 
1350;4.7397331045441095e-08 
1400;9.742836428001737e-08 
1450;4.057610298402157e-08 
1500;3.793747901248378e-08 
1550;2.0801969449712675e-08 
1600;1.9936998162329412e-08 
1650;2.1089090281387277e-08 
1700;2.8062093596094146e-08 
1750;2.8231729372213833e-08 
1800;2.994853250459806e-08 
1850;4.3149572310861954e-08 
1900;3.182820413188658e-08 
1950;4.3626112278431574e-08 
2000;2.5259688074507386e-08 
2050;4.071421735985735e-08 
2100;7.45112735564892e-08 
2150;3.147020885196274e-08 
2200;5.374129366733763e-08 
2250;2.5929604748699087e-08 
2300;3.220511021574025e-08 
2350;2.729257760371726e-08 
2400;3.679760713002229e-08 
2450;3.1491709926978086e-08 
2500;2.8910231180374332e-08 
2550;2.063014756983642e-08 
2600;4.78094482937115e-08 
2650;1.7303202185008527e-08 
2700;2.0119639095619824e-08 
2750;1.89353833225734e-08 
2800;2.1106394749515017e-08 
2850;4.823123053268484e-08 
2900;3.415464985714168e-08 
2950;3.5206691751176965e-08 
3000;2.380902802069093e-08 
3050;1.9808160836230358e-08 
3100;7.0236259269148355e-09 
3150;2.21981191281898e-08 
3200;3.173641627402166e-08 
3250;2.1393017616127098e-08 
3300;1.3038147486263339e-08 
3350;3.101838153164461e-08 
3400;3.801454602799511e-08 
3450;2.701687050035056e-08 
3500;1.4309269995165799e-08 
3550;1.3636035152096477e-08 
3600;7.121686907328434e-07 
3650;1.790080942197495e-08 
3700;4.5060566542416774e-08 
3750;4.1794101958288124e-08 
3800;1.2902968561246365e-08 
3850;2.5273463711339754e-08 
3900;4.855504012212744e-08 
3950;1.70700598236922e-08 
4000;1.919420599004932e-08 
4050;3.212916259511085e-08 
4100;2.5805293914001965e-08 
4150;3.5948482327813053e-08 
4200;1.4923535833144518e-08 
4250;2.33338585930114e-09 
4300;2.6280595835418774e-08 
4350;4.085071484723114e-08 
4400;1.9039025414780176e-08 
4450;1.7445987217675482e-08 
4500;4.252040509206858e-08 
4550;2.4832917647302272e-08 
4600;2.435425350067573e-08 
4650;1.7116784088737356e-08 
4700;3.779728268732642e-08 
4750;1.9202847324093004e-08 
4800;4.2882819999640093e-08 
4850;2.8554938025639052e-08 
4900;1.4955660936506913e-08 
4950;1.1899596898892936e-08 
5000;3.5780050263737376e-08 
